customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
1,619,France,Female,42,2,0.0,1,1,1,101348.88,1
2,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
3,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
4,699,France,Female,39,1,0.0,2,0,0,93826.63,0
5,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
6,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
7,822,France,Male,50,7,0.0,2,1,1,10062.8,0
8,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
9,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
10,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
11,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
12,752,Spain,Male,38,1,0.0,2,1,0,132624.87,0
13,476,France,Female,34,10,0.0,2,1,0,26260.98,0
14,549,France,Female,25,5,0.0,2,0,0,190857.79,0
15,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0
16,850,Spain,Female,45,9,0.0,2,1,1,142621.11,0
17,806,Spain,Male,36,3,117366.49,2,1,1,195935.45,0
18,732,France,Male,41,6,0.0,2,1,1,97835.82,0
19,614,Germany,Female,40,4,68553.28,1,1,1,27395.55,1
20,756,France,Male,32,3,0.0,1,1,0,128861.89,1
21,602,Germany,Male,45,5,142203.79,1,0,1,14461.3,1
22,823,France,Female,36,8,0.0,2,1,1,123430.73,0
23,677,France,Male,37,1,0.0,2,1,0,145806.33,0
24,563,Spain,Female,34,3,0.0,2,1,1,105658.34,0
25,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
26,775,France,Male,37,0,103321.9,1,1,0,61102.32,0
27,790,Germany,Female,33,3,134700.08,1,1,0,152328.71,0
28,638,France,Male,34,5,0.0,2,1,1,139043.23,0
29,667,Spain,Male,34,7,0.0,2,1,1,123512.63,0
30,722,Spain,Female,39,1,0.0,2,1,0,93418.91,0
31,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1
32,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
33,553,Spain,Male,41,9,0.0,1,0,0,8473.07,0
34,520,France,Female,42,6,0.0,2,1,1,101958.08,0
35,750,France,Male,42,2,0.0,1,1,1,18859.23,0
36,411,France,Male,30,3,0.0,2,1,0,172322.37,0
37,569,France,Male,34,7,0.0,2,1,1,118432.81,0
38,804,Spain,Male,37,9,111773.8,1,1,1,105156.63,0
39,850,France,Female,34,1,131373.68,1,1,0,178290.27,0
